image_id,transform,feature_id,original_value,transformed_value,absolute_change,percentage_change,status,should_theoretically_preserve,limitations
angry_a11,shadow_mild,stroke.fragmentation,0.060284,0.064262,0.003979,0.066,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,shadow_mild,segmentation.component_count,98.0,102.0,4.0,0.0408,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,shadow_mild,segmentation.largest_component_ratio,0.453926,0.456743,0.002817,0.0062,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,shadow_mild,colour.dark_ratio,0.340272,0.413296,0.073024,0.2146,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,grayscale,segmentation.foreground_coverage,0.222657,0.221093,0.001564,0.007,pass,True,
angry_a11,grayscale,segmentation.bounding_box_coverage,0.938395,0.938395,0.0,0.0,pass,True,
angry_a11,grayscale,composition.centroid_x,0.480795,0.481804,0.00101,0.0021,pass,True,
angry_a11,grayscale,composition.centroid_y,0.413677,0.419151,0.005473,0.0132,pass,True,
angry_a11,grayscale,composition.symmetry,0.717587,0.718644,0.001057,0.0015,pass,True,
angry_a11,grayscale,stroke.edge_density,0.182488,0.182488,0.0,0.0,pass,True,
angry_a11,grayscale,stroke.intensity_proxy,0.593844,0.594768,0.000924,0.0016,pass,True,
angry_a11,grayscale,stroke.fragmentation,0.060284,0.057613,0.002671,0.0443,pass,True,
angry_a11,grayscale,segmentation.component_count,98.0,93.0,5.0,0.051,pass,True,
angry_a11,grayscale,segmentation.largest_component_ratio,0.453926,0.475573,0.021648,0.0477,pass,True,
angry_a11,grayscale,colour.dark_ratio,0.340272,0.355565,0.015293,0.0449,pass,True,
